codigo;codempresa;codigo_administrativo;codigo_unit;razao_social;nome_fantasia;responsavel;cnpj;contato_nome;contato_ddd1;contato_telefone1;inscricao_estadual;inscricao_municipal;ramo_atividade;tratamento;estado_civil;oab;cpf;rg;nascimento;profissao;nacionalidade;logradouro;numero;complemento;bairro;cep;cidade;uf;ddd1;telefone1;ddd2;telefone2;ddd3;telefone3;email1;email2;site;observacoes;cliente;tipocliente;ativo;inclusao;matricula;grupo_cliente;contato_nome2;contato_nome3;contato_ddd2;contato_ddd3;contato_telefone2;contato_telefone3;contato_setor1;contato_setor2;contato_setor3;contato_email1;contato_email2;contato_email3;ddd_comercial;telefone_comercial;pis;nome_pai;nome_mae;pac;visualizado_relatorio_pac;pac_regional;cod_fase_cliente;migracao;razao_social_2;migracao2;cpf_cnpj;escritorio;cod_perfil_cliente;campo_livre1;campo_livre2;cod_campo_livre2;cod_terceiro_categoria;numero_pasta;migracao_parceiro;cod_cliente_estado_civil;cod_usuario;cod_estado_brasil;migracao3;cod_escolaridade
106195373;92577;;0;Fulano(a) 11;;;;;;(00) 1234-5460;;;;;;;123.456.789-10;12.123.123-9;08/04/1969 00:00;;Brasileira;Rua dos Candidatos, Escola Advbox, n 11;;;Centro;123456-10;Floripa;SC;;(00) 1234-4575;;(00) 9999-1121;;(00) 3333-1113;;;;Motorista DE Aplicativo;FI;1;0;09/02/2022 11:34;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5459;12345678918;Jos� 11;Maria 11;0;0;;1;;FULANO(A) 11;;123.456.789-10;;0;;;;;1363;;;;;;
106195309;92577;;0;Fulano(a) 12;;;;;;(00) 1234-5461;;;;;;;123.456.789-11;12.123.123-10;18/06/1978 00:00;;Brasileiro;Rua dos Candidatos, Escola Advbox, n 12;;;Centro;123456-11;Florianopolis;SC;;(00) 1234-4576;;(00) 9999-1122;;(00) 3333-1114;;;;Motorista DE Aplicativo;FI;1;0;09/02/2022 11:28;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5460;12345678919;Jos� 12;Maria 12;0;0;;1;;FULANO(A) 12;;123.456.789-11;;0;;;;;1362;;;;;;
105922817;92577;;0;Fulano(a) 13;;;;;;(00) 1234-5462;;;;;CA;;123.456.789-12;12.123.123-11;25/04/1973 00:00;Motorista;Brasileiro;Rua dos Candidatos, Escola Advbox, n 13;;;Centro;123456-12;Florianopolis;SC;;(00) 1234-4577;;(00) 9999-1123;;(00) 3333-1115;;;;Obs 13;FI;1;1;24/11/2021 16:58;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5461;12345678920;Jos� 13;Maria 13;0;0;;1;;FULANO(A) 13;;123.456.789-12;;100040196;;;;;1345;;;;;;1
12442462;92577;;0;Fulano(a) 14;;;;;;(00) 1234-5463;;;;;CA;;123.456.789-13;12.123.123-12;02/07/1964 00:00;Industriario;Brasileiro;Rua dos Candidatos, Escola Advbox, n 14;;;Centro;123456-13;Florianopolis;SC;;(00) 1234-4578;;(00) 9999-1124;;(00) 3333-1116;;;;Obs 14;FI;1;1;10/12/2015 10:23;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5462;12345678921;Jos� 14;Maria 14;0;0;;1;;FULANO(A) 14;;123.456.789-13;;0;Sim;;6279;;523;;;;;;
4450219;92577;;0;Fulano(a) 15;;;;;;(00) 1234-5464;;;;;CA;;123.456.789-14;12.123.123-13;11/05/1969 00:00;Técnico em Manutenção;Brasileira;Rua dos Candidatos, Escola Advbox, n 15;;;Centro;123456-14;Floripa;Sc;;(00) 1234-4579;;(00) 9999-1125;;(00) 3333-1117;;;;Obs 15;FI;1;1;19/08/2012 15:12;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5463;12345678922;Jos� 15;Maria 15;0;0;;1;;FULANO(A) 15;;123.456.789-14;;0;S;;6280;;70;;;;;;
106073273;92577;;0;Fulano(a) 16;;;;;;(00) 1234-5465;;;;;;;123.456.789-15;12.123.123-14;03/02/1963 00:00;Professor;Brasileiro;Rua dos Candidatos, Escola Advbox, n 16;;;Centro;123456-15;Floripa;Sc;;(00) 1234-4580;;(00) 9999-1126;;(00) 3333-1118;;;;Obs 16;FI;1;0;17/01/2022 13:43;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5464;12345678923;Jos� 16;Maria 16;0;0;;1;;FULANO(A) 16;;123.456.789-15;;100040197;;;;;1357;;;;;;
105934268;92577;;0;Fulano(a) 17;;;;Jana;;(00) 1234-5466;;;;;CA;;123.456.789-16;12.123.123-15;26/10/1976 00:00;Soldado;Brasileiro;Rua dos Candidatos, Escola Advbox, n 17;;;Centro;123456-16;Floripa;SC;;(00) 1234-4581;;(00) 9999-1127;;(00) 3333-1119;;;;Obs 17;FI;1;0;29/11/2021 10:01;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5465;12345678924;Jos� 17;Maria 17;0;0;;1;;FULANO(A) 17;;123.456.789-16;;0;;;;;1347;;;;;;4
106163303;92577;;0;Fulano(a) 18;;;;;;(00) 1234-5467;;;;;SO;;123.456.789-17;12.123.123-16;25/09/1999 00:00;Técnica de efermagem;brasileira;Rua dos Candidatos, Escola Advbox, n 18;;;Centro;123456-17;Rib. Do Pinhal;PR;;(00) 1234-4582;;(00) 9999-1128;;(00) 3333-1120;;;;Obs 18;FI;1;0;01/02/2022 14:09;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5466;12345678925;Jos� 18;Maria 18;0;0;;1;;FULANO(A) 18;;123.456.789-17;;0;;;;;1361;;;;;;5
101289536;92577;;0;Fulano(a) 19;;;;Jana;;(00) 1234-5468;;;;;CA;;123.456.789-18;12.123.123-17;07/10/1972 00:00;Sócia;Brasileira;Rua dos Candidatos, Escola Advbox, n 19;;;Centro;123456-18;Ribeirao do Pinhal;PR;;(00) 1234-4583;;(00) 9999-1129;;(00) 3333-1121;;;;Obs 19;FI;1;1;08/10/2018 14:30;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5467;12345678926;Jos� 19;Maria 19;0;0;;1;;FULANO(A) 19;;123.456.789-18;;0;S;;;;882;;;;;;
105862914;92577;;0;Fulano(a) 20;;;;;;(00) 1234-5469;;;;;CA;;123.456.789-19;12.123.123-18;06/03/1971 00:00;Supervisor;Brasileiro;Rua dos Candidatos, Escola Advbox, n 20;;;Centro;123456-19;Ribei. Pinhal;PR;;(00) 1234-4584;;(00) 9999-1130;;(00) 3333-1122;;;;Obs 20;FI;1;1;09/11/2021 11:02;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5468;12345678927;Jos� 20;Maria 20;0;0;;1;;FULANO(A) 20;;123.456.789-19;;0;;;;;1338;;;;;;
104966270;92577;;0;Fulano(a) 21;;;;;;(00) 1234-5470;;;;;CA;;123.456.789-20;12.123.123-19;13/03/1955 00:00;do Lar;Brasileira;Rua dos Candidatos, Escola Advbox, n 21;;;Centro;123456-20;Floripa;SC;;(00) 1234-4585;;(00) 9999-1131;;(00) 3333-1123;;;;Obs 21;FI;1;1;01/04/2021 11:26;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5469;12345678928;Jos� 21;Maria 21;0;0;;1;;FULANO(A) 21;;123.456.789-20;;0;;;6279;;1239;;;;;;
106148938;92577;;0;Fulano(a) 22;;;;;;(00) 1234-5471;;;;;;;123.456.789-21;12.123.123-20;10/11/1961 00:00;;Brasileiro;Rua dos Candidatos, Escola Advbox, n 22;;;Centro;123456-21;Florianopolis;SC;;(00) 1234-4586;;(00) 9999-1132;;(00) 3333-1124;;;;Obs 22;FI;1;0;27/01/2022 18:26;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5470;12345678929;Jos� 22;Maria 22;0;0;;1;;FULANO(A) 22;;123.456.789-21;;0;;;;;1360;;;;;;
106147114;92577;;0;Fulano(a) 23;;;12.345.678/0001-12;;;(00) 1234-5472;;;;;;;;12.123.123-21;;;;Rua dos Candidatos, Escola Advbox, n 23;;;Centro;123456-22;Florianopolis;SC;;(00) 1234-4587;;;;(00) 3333-1125;;;;Obs 23;JU;2;1;27/01/2022 15:06;;0;;;;;;;;;;;;;;irm�o (00) 1234-5471;12345678930;Jos� 23;Maria 23;0;0;;1;;FULANO(A) 23;;12.345.678/0001-12;;0;;;;;;;;;;;
102473170;92577;;0;Fulano(a) 24;;;;;;(00) 1234-5473;;;;;CA;;123.456.789-23;12.123.123-22;10/11/1964 00:00;Mecânico Manutenção;Brasileira;Rua dos Candidatos, Escola Advbox, n 24;;;Centro;123456-23;Florianopolis;SC;;(00) 1234-4588;;(00) 9999-1132;;(00) 3333-1126;;;;Obs 24;FI;1;0;16/07/2019 13:33;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5472;12345678931;Jos� 24;Maria 24;0;0;;1;;FULANO(A) 24;;123.456.789-23;;0;;;;;1000;;;;;;
6755495;92577;;0;Fulano(a) 25;;;;Jana;;(00) 1234-5474;;;;;CA;;123.456.789-24;12.123.123-23;05/12/1969 00:00;Industriário;Brasileiro;Rua dos Candidatos, Escola Advbox, n 25;;;Centro;123456-24;Floripa;Sc;;(00) 1234-4589;;(00) 9999-1133;;(00) 3333-1127;;;;Obs 25;FI;1;1;22/08/2013 16:47;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5473;12345678932;Jos� 25;Maria 25;0;0;;1;;FULANO(A) 25;;123.456.789-24;;0;OI;;6279;;209;;;;;;
6665745;92577;;0;Fulano(a) 26;;;;Jana;;(00) 1234-5475;;;;;CA;;123.456.789-25;12.123.123-24;16/09/1965 00:00;Industriário;Brasileiro;Rua dos Candidatos, Escola Advbox, n 26;;;Centro;123456-25;Floripa;SC;;(00) 1234-4590;;(00) 9999-1134;;(00) 3333-1128;;;;Obs 26;FI;1;1;09/08/2013 16:35;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5474;12345678933;Jos� 26;Maria 26;0;0;;1;;FULANO(A) 26;;123.456.789-25;;0;OI;;6279;;205;;;;;;
101988255;92577;;0;Fulano(a) 27;;;;Jana;;(00) 1234-5476;;;;;CA;;123.456.789-26;12.123.123-25;19/10/1967 00:00;Operador;Brasileira;Rua dos Candidatos, Escola Advbox, n 27;;;Centro;123456-26;Florianopolis;SC;;(00) 1234-4591;;(00) 9999-1135;;(00) 3333-1129;;;;Obs 27;FI;1;1;29/03/2019 09:13;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5475;12345678934;Jos� 27;Maria 27;0;0;;1;;FULANO(A) 27;;123.456.789-26;;100041303;;;6279;;941;;;;;;
106088439;92577;;0;Fulano(a) 28;;;;;;(00) 1234-5477;;;;;;;123.456.789-27;12.123.123-26;01/01/1976 00:00;;Brasileiro;Rua dos Candidatos, Escola Advbox, n 28;;;Centro;123456-27;Florianopolis;SC;;(00) 1234-4592;;(00) 9999-1136;;(00) 3333-1130;;;;Obs 28;FI;1;0;20/01/2022 11:27;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5476;12345678935;;;0;0;;1;;FULANO(A) 28;;123.456.789-27;;0;;;;;1359;;;;;;
4401902;92577;;0;Fulano(a) 29;;;;;;(00) 1234-5478;;;;;0;;123.456.789-28;12.123.123-27;;;;Rua dos Candidatos, Escola Advbox, n 29;;;Centro;123456-28;Florianopolis;SC;;(00) 1234-4593;;(00) 9999-1137;;(00) 3333-1131;;;;Obs 29;FI;2;1;08/08/2012 17:58;;0;;;;;;;;;;;;;;irm�o (00) 1234-5477;12345678936;;;0;0;;1;;FULANO(A) 29;;123.456.789-28;;0;;;;;;;;;;;
105349514;92577;;0;Fulano(a) 30;;;;;;(00) 1234-5479;;;;;0;;123.456.789-29;12.123.123-28;;;;Rua dos Candidatos, Escola Advbox, n 30;;;Centro;123456-29;Floripa;Sc;;(00) 1234-4594;;(00) 9999-1138;;(00) 3333-1132;;;;Obs 30;FI;2;1;05/07/2021 16:03;;0;;;;;;;;;;;;;;irm�o (00) 1234-5478;12345678937;;;0;0;;1;;FULANO(A) 30;;123.456.789-29;;0;;;;;;;;;;;
106017834;92577;;0;Fulano(a) 31;;;;;;(00) 1234-5480;;;;;0;;123.456.789-30;12.123.123-29;;;;Rua dos Candidatos, Escola Advbox, n 31;;;Centro;123456-30;Floripa;Sc;;(00) 1234-4595;;(00) 9999-1139;;(00) 3333-1133;;;;Obs 31;FI;2;1;21/12/2021 15:47;;0;;;;;;;;;;;;;;irm�o (00) 1234-5479;12345678938;;;0;0;;1;;FULANO(A) 31;;123.456.789-30;;0;;;;;;;;;;;
105349538;92577;;0;Fulano(a) 32;;;;;;(00) 1234-5481;;;;;0;;123.456.789-31;12.123.123-30;;;;Rua dos Candidatos, Escola Advbox, n 32;;;Centro;123456-31;Floripa;SC;;(00) 1234-4596;;(00) 9999-1140;;(00) 3333-1134;;;;Obs 32;FI;2;1;05/07/2021 16:06;;0;;;;;;;;;;;;;;;12345678939;;;0;0;;1;;FULANO(A) 32;;123.456.789-31;;0;;;;;;;;;;;
105349521;92577;;0;Fulano(a) 33;;;;;;(00) 1234-5482;;;;;0;;123.456.789-32;12.123.123-31;;;;Rua dos Candidatos, Escola Advbox, n 33;;;Centro;123456-32;Rib. Do Pinhal;PR;;(00) 1234-4597;;(00) 9999-1141;;(00) 3333-1135;;;;Obs 33;FI;2;1;05/07/2021 16:04;;0;;;;;;;;;;;;;;;12345678940;;;0;0;;1;;FULANO(A) 33;;123.456.789-32;;0;;;;;;;;;;;
4392278;92577;;0;Fulano(a) 34;;;;;;(00) 1234-5483;;;;;;;123.456.789-33;12.123.123-32;;;;Rua dos Candidatos, Escola Advbox, n 34;;;Centro;123456-33;Ribeirao do Pinhal;PR;;(00) 1234-4598;;(00) 9999-1142;;(00) 3333-1136;;;;Obs 34;JU;2;1;07/08/2012 10:31;;0;;;;;;;;;;;;;;;12345678941;;;0;0;;1;;FULANO(A) 34;;123.456.789-33;;0;;;;;;;;;;;
13878163;92577;;0;Fulano(a) 35;;;;;;(00) 1234-5484;;;;;SO;;123.456.789-34;12.123.123-33;28/12/1966 00:00;Eletricista;Brasileira;Rua dos Candidatos, Escola Advbox, n 35;;;Centro;123456-34;Ribei. Pinhal;PR;;(00) 1234-4599;;(00) 9999-1143;;(00) 3333-1137;;;;Obs 35;FI;1;1;04/08/2016 16:38;;57759;;;;;;;;;;;;;;;12345678942;;;0;0;;1;;FULANO(A) 35;;123.456.789-34;;0;OI / TIM;;6280;;584;;;;;;
103456307;92577;;0;Fulano(a) 36;;;;;;(00) 1234-5485;;;;;CA;;123.456.789-35;12.123.123-34;30/05/1984 00:00;Engenheiro;Brasileira;Rua dos Candidatos, Escola Advbox, n 36;;;Centro;123456-35;Floripa;SC;;(00) 1234-4600;;(00) 9999-1144;;(00) 3333-1138;;;;Obs 36;FI;1;1;27/02/2020 15:43;;57759;;;;;;;;;;;;;;(00) 1234-5480;12345678943;;;0;0;;1;;FULANO(A) 36;;123.456.789-35;;0;;;6279;;1094;;;;;;
9801035;92577;;0;Fulano(a) 37;;;;;;(00) 1234-5486;;;;;CA;;123.456.789-36;12.123.123-35;11/03/1978 00:00;Industariário;Brasileiro;Rua dos Candidatos, Escola Advbox, n 37;;;Centro;123456-36;Florianopolis;SC;;(00) 1234-4601;;(00) 9999-1145;;(00) 3333-1139;;;;Obs 37;FI;1;1;10/11/2014 19:30;;57759;;;;;;;;;;;;;;(00) 1234-5481;12345678944;;;0;0;;1;;FULANO(A) 37;;123.456.789-36;;0;OI;;6279;;389;;;;;;
104104362;92577;;0;Fulano(a) 38;;;;;;(00) 1234-5487;;;;;CA;;123.456.789-37;12.123.123-36;18/01/1983 00:00;;Brasileira;Rua dos Candidatos, Escola Advbox, n 38;;;Centro;123456-37;Florianopolis;SC;;(00) 1234-4602;;(00) 9999-1146;;(00) 3333-1140;;;;Obs 38;FI;1;0;17/08/2020 11:58;;57759;;;;;;;;;;;;;;(00) 1234-5482;12345678945;;;0;0;;1;;FULANO(A) 38;;123.456.789-37;;0;;;6279;;1149;;;;;;
11928174;92577;;0;Fulano(a) 39;;;;;;(00) 1234-5488;;;;;CA;;123.456.789-38;12.123.123-37;09/12/1966 00:00;Aposentado;Brasileiro;Rua dos Candidatos, Escola Advbox, n 39;;;Centro;123456-38;Florianopolis;SC;;(00) 1234-4603;;(00) 9999-1147;;(00) 3333-1141;;;;Obs 39;FI;1;1;24/09/2015 11:16;;57759;;;;;;;;;;;;;;(00) 1234-5483;12345678946;;;0;0;;1;;FULANO(A) 39;;123.456.789-38;;0;Vivo;;6279;;501;;;;;;
4242497;92577;;0;Fulano(a) 40;Beltrano(a) 1;;12.345.678/0001-13;;;(00) 1234-5489;;;;;;;;12.123.123-38;;;;Rua dos Candidatos, Escola Advbox, n 40;;;Centro;123456-39;Floripa;Sc;;(00) 1234-4604;;(00) 9999-1148;;(00) 3333-1142;;;;Obs 40;JU;2;1;09/07/2012 23:18;;0;;;;;;;;;;;;;;(00) 1234-5484;12345678947;;;0;0;;1;;FULANO(A) 40;;12.345.678/0001-13;;0;;;;;;;;;;;
4251149;92577;;0;Fulano(a) 41;;;;;;(00) 1234-5490;;;;;CA;;123.456.789-40;12.123.123-39;;Entregador;Brasileiro;Rua dos Candidatos, Escola Advbox, n 41;;;Centro;123456-40;Floripa;Sc;;(00) 1234-4605;;(00) 9999-1149;;(00) 3333-1143;;;;Obs 41;FI;2;1;11/07/2012 14:49;;0;;;;;;;;;;;;;;(00) 1234-5485;12345678948;;;0;0;;1;;FULANO(A) 41;;;;0;;;;;;;;;;;
4390015;92577;;0;Fulano(a) 42;;;;;;(00) 1234-5491;;;;;;;123.456.789-41;12.123.123-40;;do lar;Brasileira;Rua dos Candidatos, Escola Advbox, n 42;;;Centro;123456-41;Floripa;SC;;(00) 1234-4606;;(00) 9999-1150;;(00) 3333-1144;;;;Obs 42;FI;2;1;06/08/2012 16:47;;0;;;;;;;;;;;;;;(00) 1234-5486;12345678949;;;0;0;;1;;FULANO(A) 42;;;;0;;;;;;;;;;;
4400095;92577;;0;Fulano(a) 43;;;;;;(00) 1234-5492;;;;;CA;;123.456.789-42;12.123.123-41;18/10/1981 00:00;Técnico em Segurança;Brasileira;Rua dos Candidatos, Escola Advbox, n 43;;;Centro;123456-42;Rib. Do Pinhal;PR;;(00) 1234-4607;;(00) 9999-1151;;(00) 3333-1145;;;;Obs 43;FI;1;1;08/08/2012 15:11;;57759;;;;;;;;;;;;;;(00) 1234-5487;12345678950;;;0;0;;1;;FULANO(A) 43;;;;0;;;6279;;47;;;;;;
4402573;92577;;0;Fulano(a) 44;;;;;;(00) 1234-5493;;;;;CA;;123.456.789-43;12.123.123-42;;Aposentado;Brasileira;Rua dos Candidatos, Escola Advbox, n 44;;;Centro;123456-43;Ribeirao do Pinhal;PR;;(00) 1234-4608;;(00) 9999-1152;;(00) 3333-1146;;;;Obs 44;FI;1;0;09/08/2012 09:27;;57759;;;;;;;;;;;;;;(00) 1234-5488;12345678951;;;0;0;;1;;FULANO(A) 44;;;;0;;;7461;;57;;;;;;
4587807;92577;;0;Fulano(a) 45;;;;;;(00) 1234-5494;;;;;CA;;123.456.789-44;12.123.123-43;12/11/1949 00:00;Motorista;Brasileira;Rua dos Candidatos, Escola Advbox, n 45;;;Centro;123456-44;Ribei. Pinhal;PR;;(00) 1234-4609;;(00) 9999-1153;;(00) 3333-1147;;;;Obs 45;FI;1;1;12/09/2012 18:43;;57759;;;;;;;;;;;;;;(00) 1234-5489;12345678952;;;0;0;;1;;FULANO(A) 45;;;;0;OI;;6331;;94;;;;;;
4767707;92577;;0;Fulano(a) 46;;;;;;(00) 1234-5495;;;;;CA;;123.456.789-45;12.123.123-44;04/09/1959 00:00;Projetista;Brasileira;Rua dos Candidatos, Escola Advbox, n 46;;;Centro;123456-45;Floripa;SC;;(00) 1234-4610;;(00) 9999-1154;;(00) 3333-1148;;;;Obs 46;FI;1;0;20/10/2012 12:00;;57759;;;;;;;;;;;;;;(00) 1234-5490;12345678953;;;0;0;;1;;FULANO(A) 46;;;;0;OI;;6279;;113;;;;;;
4890837;92577;;0;Fulano(a) 47;;;;;;(00) 1234-5496;;;;;CA;;123.456.789-46;12.123.123-45;11/08/1992 00:00;Balconista;Brasileira;Rua dos Candidatos, Escola Advbox, n 47;;;Centro;123456-46;Florianopolis;SC;;(00) 1234-4611;;(00) 9999-1155;;(00) 3333-1149;;;;Obs 47;FI;2;1;22/11/2012 08:58;;0;;;;;;;;;;;;;;(00) 1234-5491;12345678954;;;0;0;;1;;FULANO(A) 47;;;;0;;;;;;;;;;;
4976405;92577;;0;Fulano(a) 48;Beltrano(a) 2;Ciclano 1;;;;(00) 1234-5497;;;Prestadora de Serviço em Engenharia;;;;123.456.789-47;12.123.123-46;;;;Rua dos Candidatos, Escola Advbox, n 48;;;Centro;123456-47;Florianopolis;SC;;(00) 1234-4612;;(00) 9999-1156;;(00) 3333-1150;;;;Obs 48;JU;2;1;03/12/2012 11:59;;0;;;;;;;;;;;;;;(00) 1234-5492;12345678955;;;0;0;;1;;FULANO(A) 48;;;;0;;;;;;;;;;;
4977091;92577;;0;Fulano(a) 49;Beltrano(a) 3;;12.345.678/0001-14;;;(00) 1234-5498;;;;;;;;12.123.123-47;;;;Rua dos Candidatos, Escola Advbox, n 49;;;Centro;123456-48;Florianopolis;SC;;(00) 1234-4613;;(00) 9999-1157;;(00) 3333-1151;;;;Obs 49;JU;2;1;03/12/2012 13:59;;0;;;;;;;;;;;;;;(00) 1234-5493;12345678956;;;0;0;;1;;FULANO(A) 49;;12.345.678/0001-14;;0;;;;;;;;;;;
